Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
43,tt0113187,2021-02-07,2021-02-07,,"Godzilla vs. Destoroyah","Gojira vs. Desutoroiâ",https://www.imdb.com/title/tt0113187/,Movie,6.9,103,1995,"Action, Drama, Horror, Sci-Fi",8482,1995-12-09,"Takao Okawara, Ishirô Honda, Kôji Hashimoto, Shûe Matsubayashi, Kenshô Yamashita, Kazuki Ômori",,
44,tt6515910,2021-03-08,2021-03-08,,"The Kindness of Strangers","The Kindness of Strangers",https://www.imdb.com/title/tt6515910/,Movie,6.6,112,2019,"Drama",5571,2020-02-14,"Lone Scherfig",,
45,tt7131720,2021-09-11,2021-09-11,,"Kakegurui","Kakegurui",https://www.imdb.com/title/tt7131720/,TV Series,7.1,24,2017,"Animation, Drama, Mystery, Thriller",16982,2018-02-01,,,
46,tt9359796,2022-01-03,2022-01-03,,"Blade Runner: Black Lotus","Blade Runner: Black Lotus",https://www.imdb.com/title/tt9359796/,TV Series,6.4,,2021,"Animation, Action, Drama, Mystery, Sci-Fi, Thriller",3935,2021-11-14,,,
47,tt0090563,2022-01-03,2022-01-03,,"Betty Blue","37°2 le matin",https://www.imdb.com/title/tt0090563/,Movie,7.3,119,1986,"Drama, Romance",24934,1986-11-07,"Jean-Jacques Beineix",,
48,tt0082933,2022-01-03,2022-01-03,,"Possession","Possession",https://www.imdb.com/title/tt0082933/,Movie,7.2,124,1981,"Drama, Horror",56062,1983-10-28,"Andrzej Zulawski",,
49,tt0062229,2022-01-03,2022-01-03,,"Le Samouraï","Le samouraï",https://www.imdb.com/title/tt0062229/,Movie,8.0,101,1967,"Crime, Drama, Thriller",65399,1967-10-25,"Jean-Pierre Melville",,
50,tt9335498,2022-01-03,2022-01-03,,"Demon Slayer: Kimetsu no Yaiba","Kimetsu no Yaiba",https://www.imdb.com/title/tt9335498/,TV Series,8.6,24,2019,"Animation, Action, Adventure, Fantasy, Thriller",221256,2021-01-22,,,
51,tt10944760,2022-01-03,2022-01-03,,"Titane","Titane",https://www.imdb.com/title/tt10944760/,Movie,6.4,108,2021,"Drama, Horror, Sci-Fi, Thriller",65710,2021-10-01,"Julia Ducournau",,
52,tt2718492,2022-01-03,2022-01-03,,"Ida","Ida",https://www.imdb.com/title/tt2718492/,Movie,7.4,82,2013,"Drama",62962,2013-10-25,"Pawel Pawlikowski",,
53,tt10795658,2022-01-03,2022-01-03,,"Alice in Borderland","Imawa no Kuni no Arisu",https://www.imdb.com/title/tt10795658/,TV Series,7.8,50,2020,"Action, Drama, Horror, Mystery, Sci-Fi, Thriller",145064,2020-12-10,,,
54,tt1457767,2022-01-03,2022-01-03,,"The Conjuring","The Conjuring",https://www.imdb.com/title/tt1457767/,Movie,7.5,112,2013,"Horror, Mystery, Thriller",618394,2013-07-19,"James Wan",,
55,tt0082096,2022-01-03,2022-01-03,,"Das Boot","Das Boot",https://www.imdb.com/title/tt0082096/,Movie,8.3,149,1981,"Drama, War",286928,1982-02-10,"Wolfgang Petersen",,
56,tt0060959,2022-01-03,2022-01-03,,"Daisies","Sedmikrásky",https://www.imdb.com/title/tt0060959/,Movie,7.2,75,1966,"Comedy",17487,1966-12-30,"Vera Chytilová",,
57,tt0443680,2022-01-03,2022-01-03,,"The Assassination of Jesse James by the Coward Robert Ford","The Assassination of Jesse James by the Coward Robert Ford",https://www.imdb.com/title/tt0443680/,Movie,7.5,160,2007,"Biography, Crime, Drama, History, Western",203448,2007-10-19,"Andrew Dominik",,
58,tt1483797,2022-01-03,2022-01-03,,"Redline","Redline",https://www.imdb.com/title/tt1483797/,Movie,7.5,102,2009,"Animation, Action, Sci-Fi, Sport",20659,2010-10-09,"Takeshi Koike",,
59,tt7985648,2022-01-03,2022-01-03,,"The Legend of Tomiris","Tomiris",https://www.imdb.com/title/tt7985648/,Movie,6.3,156,2019,"Action, Drama, Fantasy, War",43795,2019-10-01,"Akan Satayev",,
60,tt0986233,2022-01-03,2022-01-03,,"Hunger","Hunger",https://www.imdb.com/title/tt0986233/,Movie,7.5,96,2008,"Biography, Crime, Drama, Thriller",76375,2008-10-31,"Steve McQueen",,
61,tt9243804,2022-01-03,2022-01-03,,"The Green Knight","The Green Knight",https://www.imdb.com/title/tt9243804/,Movie,6.6,130,2021,"Adventure, Drama, Fantasy",130778,2021-07-30,"David Lowery",,
62,tt0103919,2022-01-03,2022-01-03,,"Candyman","Candyman",https://www.imdb.com/title/tt0103919/,Movie,6.7,99,1992,"Horror, Thriller",109117,1992-10-16,"Bernard Rose",,
63,tt15090124,2022-01-03,2022-01-03,,"Mad God","Mad God",https://www.imdb.com/title/tt15090124/,Movie,6.8,83,2021,"Animation, Fantasy, Horror, Sci-Fi",20264,2022-06-16,"Phil Tippett",,
64,tt10681222,2022-01-03,2022-01-03,,"The Movies That Made Us","The Movies That Made Us",https://www.imdb.com/title/tt10681222/,TV Series,7.6,45,2019,"Documentary",7614,2019-11-29,,,
65,tt0107653,2022-01-03,2022-01-03,,"Naked","Naked",https://www.imdb.com/title/tt0107653/,Movie,7.7,131,1993,"Comedy, Drama",48504,1994-02-04,"Mike Leigh",,
